SourceShortCode,Type,SourceLink,Shortcode,Username,Profile ID,Media Type,Video View Count,Likes,Comments,Date created,Caption,URL,MatchTerm
,Comment,,,SaoJorgeCinema,720667706921240,photos,5386,94,0,2024-09-12T04:38:59-07:00,Mais clareza  mais acessibilidade  o Cinema de sempre: o novo website do Cinema São Jorge já está no ar.    À beira de completarmos 75 anos de filmes  achámos que era chegada a altura de voltarmos a renovar uma das janelas que temos abertas para o mundo. Por isso  em parceria com a agência digital Innovagency   mudámos o rosto digital do São Jorge  mas não só. O novo website é mais elegante  mais prático  mais navegável e  muito importante  mais acessível para todos os públicos.      Somos um equipamento público e um ponto de encontro cultural onde  além de cinema  se pode desfrutar de música  teatro  exposições  espetáculos de stand-up comedy  debates  oficinas  colóquios e outros encontros temáticos. E queremos que essa informação esteja disponível para toda a gente  e organizada da melhor forma.           O mesmo endereço – 𝐜𝐢𝐧𝐞𝐦𝐚𝐬𝐚𝐨𝐣𝐨𝐫𝐠𝐞.𝐩𝐭 –  a mesma sala de referência  uma nova presença online. Estão todos convidados a visitar-nos de todas as formas. Até porque a rentrée já está em marcha.    #culturalisboa #cinemasãojorge,,
,Comment,,,municipiodeloule,1396868301033339,links,961,4,0,2024-09-12T04:38:51-07:00,No âmbito das comemorações dos 60 anos da Sociedade Recreativa e Cultural de Vale Judeu  terá lugar  no próximo dia 6 de outubro  o evento lúdico-desportivo “Trilhos das Colinas”  iniciativa sem carácter competitivo  e que conta com duas vertentes  Marcha e BTT (Bicicletas de Todo-o-Terreno).  #loule2024,,
,Comment,,,deputadopedrolobo,977962454014345,albums,0,0,0,2024-09-12T04:37:52-07:00,Fortalecendo o turismo no Cariri: Jardim como Destino Imperdível! 🌿✨    O município de Jardim  uma joia da Região Metropolitana do Cariri  destaca-se por suas belezas naturais e potencial turístico inexplorado. Com sua localização privilegiada na Chapada do Araripe  oferece um clima ameno e paisagens deslumbrantes  perfeitas para o ecoturismo e o turismo religioso.    Em uma reunião produtiva com o Secretário Executivo da Secretaria de Turismo do Ceará Jonas Dezidoro e o líder político Júnior Coutinho  o deputado estadual Pedro Lobo reafirmou seu compromisso com o desenvolvimento turístico da região. Com mais de 3 milhões de visitantes anuais no Cariri  Jardim possui atrativos como o Rio Jardim  trilhas ecológicas  cruzeiros históricos e balneários naturais  além de eventos culturais vibrantes.    O deputado Pedro Lobo está empenhado em atrair investimentos estaduais e federais para alavancar o turismo em Jardim  promovendo seu rico patrimônio natural e cultural. Vamos juntos explorar e preservar as maravilhas de Jardim  tornando-o um destino turístico de referência no Cariri!,,
,Comment,,,flexpe,1083074313393275,photos,0,0,0,2024-09-12T04:36:45-07:00,🌟🔥 Prepare-se para arrasar na Primavera Verão com as novas peças da FlexPé! Desde camisetas leves até bermudas estilosas  temos tudo o que você precisa para atualizar o visual e entrar no clima da estação. 🌞💪    Primavera Verão Flex-Pé Calçados 💐☀️  É mais facil comprar aqui! 😀    📞 (11) 95324-6500  📍Mogi das Cruzes | Arujá  💻 www.flexpe.com.br    Produção: <redacted_mention>  Modelo: @williamrodrigues25.05     #flexpécalçados #sandalia #tenis #sol #flowers #primaveraverao #sorriso #alegría #flor  #primavera #verao #flexpe #flex #pe #entrevista,,
,Comment,,,soaquinoticiasmg,1077169733352880,photos,116,0,0,2024-09-12T04:34:52-07:00,Além de projeções sobre mercados do leite  boi  milho e soja  o evento apresentará atualizações sobre o clima no Vale do Rio Doce.    Na próxima segunda-feira  dia 16 de setembro  às 17h  o Armazém da Cooperativa receberá mais uma edição do Café Rural  evento que visa reunir os produtores rurais da região  e apresentar informações importantes relacionadas ao mercado agropecuário. Nesta edição  os produtores terão acesso a dados sobre o clima no Vale do Rio Doce para os próximos meses  além de atualizações importantes sobre os mercados do leite  boi  milho e soja. O objetivo é dar bases de conhecimento para que os produtores tenham segurança na elaboração do planejamento nas propriedades para os próximos meses.    O evento será realizado pelo Sindicato Rural de Governador Valadares  com organização da Cooperativa Agropecuária Vale do Rio Doce  em parceria com Sicoob Crediriodoce  Sistema Faemg-Senar e União Ruralista Rio Doce (URRD). Outra instituição que estará presente no Café Rural é o Instituto Federal de Minas Gerais (IFMG)  com o professor Fúlvio Cupolillo do campus Governador Valadares  que apresentará dados dos estudos realizados no IFMG a partir das estações meteorológicas da região.    Pelo Sistema Faemg-Senar  estará no evento o consultor master de bovinocultura de corte do programa de Assistência Técnica & Gerencial (AT&G)  Helvécio Oliveira. O técnico é especialista em gado de corte  e mostrará aos pecuaristas quais são as melhores escolhas a médio e longo prazo dentro da cadeia produtiva. O panorama para os próximos meses na pecuária de leite será apresentado pelo gerente de Política Leiteira da Cooperativa  Alexandre Negri  com base em dados recentes sobre as importações de leite  e sobre a safra na região Sul do Brasil.    👉Para ver a matéria completa  clique no link da bio ou stories.  🟡 www.soaquinoticias.com.br  👇 Deixe seu comentário aqui em baixo    #timóteomg #ipatingamg #coronelfabriciano #fabri #minasgerais #noticias,,
,Comment,,,lapis.met,3761790300710724,photos,4880,107,27,2024-09-12T04:30:57-07:00,🚨 Você sabe a diferença entre queimadas e incêndios florestais  .  🗺️ O aquecimento global tornou secas severas mais comuns na Amazônia e no Cerrado  nas últimas três décadas. Esses extremos climáticos deixam o ambiente propício à degradação da vegetação  principalmente pelo uso do fogo.  .  🔥 Entenda a diferença entre queimadas e incêndios florestais:   .  ✅ 1) O que é uma queimada? É a prática do uso do fogo sem planejamento  sendo comum na agricultura  quando se utiliza o fogo para limpeza de vastas áreas e transformação da vegetação nativa em pastagem para o gado. Não havendo controle  esse fogo pode se alastrar e se tornar um incêndio florestal. Por exemplo  quando o fogo atinge áreas de preservação permanente (APP’s) das propriedades rurais.   .  🥵 O fogo costuma ser usado no manejo agropastoril nas seguintes situações: a) queima do pasto para que os animais se alimentem da rebrota; b) queima da vegetação nativa para substituí-la por lavouras; e c) uso do fogo para “renovação” de pastagens. O avanço do desmatamento está ligado à queima da vegetação  quando se elimina a vegetação nativa para abrir novas fronteiras rurais.  .  ✅ 2) O que é um incêndio florestal? é o fogo descontrolado  em área de floresta ou qualquer outra cobertura vegetal. Pode ter original acidental  quando o fogo se alastra para áreas de floresta; criminosa  quando é uma prática intencional; e raramente pode ter causa natural. Em florestas como a Amazônia  não costuma acontecer incêndios de origem natural  em razão da alta umidade.   .  🔥 Os incêndios intencionais são ações humanas criminosas  quando se usam fósforos ou cigarros acesos para colocar fogo na vegetação seca. O fogo atinge florestas  campos  pastagens e margens de vias públicas. Em alguns casos  são encontrados galões de combustíveis usados para iniciar o fogo.  .  🧐 Foco de calor é outro termo muito usado no monitoramento das queimadas. É um dado capturado pelos sensores de satélite  quando registram temperaturas superiores a 47 °C. Um incêndio ou uma queimada podem gerar um ou vários focos de calor  a depender da extensão da linha de fogo.  .  📌 Saiba mais: https://www.letrasambientais.org.br/posts/nao-ha-justificativa-climatica-para-pico-de-queimadas-em-sao-paulo-afirma-cientista,,
,Comment,,,governoparana,379992838244582,albums,2344,8,2,2024-09-12T04:30:09-07:00,Todo mês é mês de estar em contato com a natureza 🌿    Setembro está recheado de aventuras ao ar livre! O IDR-Paraná  em parceria com as prefeituras  preparou a programação das Caminhadas na Natureza  passando por diversas regiões do estado. 🚶‍♀️🚶‍♂️    Se você é trilheiro ou da vibe de contato com a natureza  admirar belas paisagens e ainda praticar atividade física  esse é seu momento! As caminhadas acontecem sempre aos domingos  com inscrições gratuitas. Aproveite para curtir a culinária local e conhecer um pouco mais do turismo rural do Paraná. 🌾🌻    Confira algumas das próximas caminhadas:    📅 15 de setembro:  Castro: Circuito Terra Nova - 15 km  Guarapuava: Colônia Entre Rios - 12 km  Itaguajé: Circuito Margens do Pirapanema - 11 km  Quedas do Iguaçu: Caminhada da Palmeira Juçara - 11 km  Rio Negro: Caminhada da Fazendinha - 12 km  ⚠️ São José dos Pinhais: Rota das Colônias - 11 km 👈 CAMINHADA CANCELADA    📅 22 de setembro:  Pontal do Paraná: Circuito Colônia Pereira - 10 km    📅 29 de setembro:  Tijucas do Sul: Circuito Cogumelo Champignon - 10 km    Convide os amigos e aproveite para curtir a natureza do nosso estado! 🌳✨    🚨 As datas podem ser alteradas e/ou canceladas devido a mudanças climáticas 🚨    #CaminhadasdaNatureza #TurismoRural #AtividadeFísica,,
,Comment,,,unimedlondrina,890951932936641,photos,333,1,0,2024-09-12T04:30:08-07:00,Este ano  os dias frios passaram rápido! ❄️ Mas  independente da estação  sempre é tempo de aproveitar bons momentos  seja no aconchego do sofá com uma pipoca ou lá fora curtindo o clima. Cuidar da saúde é encontrar o equilíbrio entre diversão e bem-estar. 💚    E aí  o que você fez para aproveitar o friozinho deste inverno? Conta pra gente nos comentários!,,
,Comment,,,metropolesdf,1080879576253715,links,2219,8,10,2024-09-12T04:30:05-07:00,Ministro Fernando Haddad disse acompanhar a evolução da questão climática  porque há efeitos sobre o preço dos alimentos e da energia,,
,Comment,,,FolhadoMate,491051343256379,links,5157,29,0,2024-09-12T04:30:02-07:00,CLIMA | Fumaça decorrente dos incêndios da Amazônia e do Cerrado brasileiro tem sido registrada em Venâncio Aires e municípios vizinhos nos últimos dias. Especialistas explicam os efeitos e os riscos ambientais e para a saúde.,,
